version_state,model_year,make,model,mod_gen,power_train,version,trim_level,trim_class,transmission,speeds,doors,body_type,wheelbase_type,wheelbase_mm,wheels,liters,cc,kilowatt,horsepower,number_of_cylinders,engine_configuration,fuel,seating_capacity,gvw_rating,assembly,ex_showroom_price,on_road_price
spec chnge,2024,MARUTI SUZUKI,SWIFT,7,combustion,1.2 CNG VXI,VXI,M1,manual,5,5,hatchback,short,2450,front,1.2,1197,51,70,3,in-line,CNG,5,1425,IND,8.23,9.25
spec chnge,2024,MARUTI SUZUKI,SWIFT,7,combustion,1.2 CNG ZXI,ZXI,M3,manual,5,5,hatchback,short,2450,front,1.2,1197,51,70,3,in-line,CNG,5,1425,IND,8.99,10.1
spec chnge,2024,MARUTI SUZUKI,SWIFT,7,combustion,1.2 VXI (O),VXI (O),M2,manual,5,5,hatchback,short,2450,front,1.2,1197,60,82,3,in-line,Petrol,5,1355,IND,7.59,8.55
spec chnge,2024,MARUTI SUZUKI,SWIFT,7,combustion,1.2 VXI (O) AGS,VXI (O),M2,automatic,5,5,hatchback,short,2450,front,1.2,1197,60,82,3,in-line,Petrol,5,1355,IND,8.09,9.09
spec chnge,2024,MARUTI SUZUKI,SWIFT,7,combustion,1.2 CNG VXI (O),VXI (O),M2,manual,5,5,hatchback,short,2450,front,1.2,1197,51,70,3,in-line,CNG,5,1425,IND,8.46,9.13
spec chnge,2019,MARUTI SUZUKI,DZIRE,5,combustion,1.2 ZXI,ZXI,M2,manual,5,5,sedan,short,2450,front,1.2,1197,61,83,4,in-line,Petrol,5,1315,IND,7.32,8.25
spec chnge,2019,MARUTI SUZUKI,DZIRE,5,combustion,1.2 VXI,VXI,M1,manual,5,5,sedan,short,2450,front,1.2,1197,61,83,4,in-line,Petrol,5,1315,IND,6.74,7.65
spec chnge,2019,MARUTI SUZUKI,DZIRE,5,combustion,1.2 LXI,LXI,B1,manual,5,5,sedan,short,2450,front,1.2,1197,61,83,4,in-line,Petrol,5,1315,IND,5.89,6.73
spec chnge,2019,MARUTI SUZUKI,DZIRE,5,combustion,1.2 ZXI+,ZXI+,L1,manual,5,5,sedan,short,2450,front,1.2,1197,61,83,4,in-line,Petrol,5,1315,IND,8.12,9.11
spec chnge,2019,MARUTI SUZUKI,DZIRE,5,combustion,1.2 VXI AMT,VXI,M1,manual,5,5,sedan,short,2450,front,1.2,1197,61,83,4,in-line,Petrol,5,1315,IND,7.21,8.14
spec chnge,2019,MARUTI SUZUKI,DZIRE,5,combustion,1.2 ZXI AMT,ZXI,M2,manual,5,5,sedan,short,2450,front,1.2,1197,61,83,4,in-line,Petrol,5,1315,IND,7.79,8.76
spec chnge,2019,MARUTI SUZUKI,DZIRE,5,combustion,1.2 ZXI+ AMT,ZXI+,L1,manual,5,5,sedan,short,2450,front,1.2,1197,61,83,4,in-line,Petrol,5,1315,IND,8.59,9.62
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,MHEV,1.5 MHEV ZXI AT,ZXI,M2,automatic,6,5,suv,short,2500,front,1.5,1462,76,103,4,in-line,Petrol,5,1680,IND,12.66,14.58
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,MHEV,1.5 MHEV ZXI,ZXI,M2,manual,5,5,suv,short,2500,front,1.5,1462,76,103,4,in-line,Petrol,5,1640,IND,11.26,12.99
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,MHEV,1.5 MHEV VXI AT,VXI,M1,automatic,6,5,suv,short,2500,front,1.5,1462,76,103,4,in-line,Petrol,5,1680,IND,11.15,12.87
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,combustion,1.5 VXI,VXI,M1,manual,5,5,suv,short,2500,front,1.5,1462,74,101,4,in-line,Petrol,5,1640,IND,9.75,10.89
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,combustion,1.5 LXI,LXI,B1,manual,5,5,suv,short,2500,front,1.5,1462,74,101,4,in-line,Petrol,5,1640,IND,8.69,9.73
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,MHEV,1.5 MHEV ZXI AT 2-TONE,ZXI,M2,automatic,6,5,suv,short,2500,front,1.5,1462,76,103,4,in-line,Petrol,5,1680,IND,12.82,14.76
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,MHEV,1.5 MHEV ZXI 2-TONE,ZXI,M2,manual,5,5,suv,short,2500,front,1.5,1462,76,103,4,in-line,Petrol,5,1640,IND,11.42,13.18
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,combustion,1.5 CNG ZXI 2-TONE,ZXI,M2,manual,5,5,suv,short,2500,front,1.5,1462,65,88,4,in-line,CNG,5,1680,IND,12.37,14.26
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,combustion,1.5 CNG ZXI,ZXI,M2,manual,5,5,suv,short,2500,front,1.5,1462,65,88,4,in-line,CNG,5,1680,IND,12.21,14.08
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,combustion,1.5 CNG VXI,VXI,M1,manual,5,5,suv,short,2500,front,1.5,1462,65,88,4,in-line,CNG,5,1680,IND,10.7,12.37
"price chnge,S",2025,MARUTI SUZUKI,BREZZA,2,combustion,1.5 CNG LXI,LXI,B1,manual,5,5,suv,short,2500,front,1.5,1462,65,88,4,in-line,CNG,5,1680,IND,9.64,10.78
spec chnge,2025,MARUTI SUZUKI,BREZZA,2,MHEV,1.5 MHEV ZXI+ AT,ZXI+,L1,automatic,6,5,suv,short,2500,front,1.5,1462,76,103,4,in-line,Petrol,5,1680,IND,13.98,16.08
spec chnge,2025,MARUTI SUZUKI,BREZZA,2,MHEV,1.5 MHEV ZXI+,ZXI+,L1,manual,5,5,suv,short,2500,front,1.5,1462,76,103,4,in-line,Petrol,5,1640,IND,12.58,14.49
spec chnge,2025,MARUTI SUZUKI,BREZZA,2,MHEV,1.5 MHEV ZXI+ 2-TONE,ZXI+,L1,manual,5,5,suv,short,2500,front,1.5,1462,76,103,4,in-line,Petrol,5,1640,IND,12.74,14.67
spec chnge,2025,MARUTI SUZUKI,BREZZA,2,MHEV,1.5 MHEV ZXI+ AT 2-TONE,ZXI+,L1,automatic,6,5,suv,short,2500,front,1.5,1462,76,103,4,in-line,Petrol,5,1680,IND,14.14,16.26
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,MHEV,1.5 MHEV ZXI,ZXI,M2,manual,5,5,MPV,short,2740,front,1.5,1462,76,103,4,in-line,Petrol,7,1760,IND,11.16,13.23
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,MHEV,1.5 MHEV VXI,VXI,M1,manual,5,5,MPV,short,2740,front,1.5,1462,76,103,4,in-line,Petrol,7,1760,IND,10.06,11.97
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,MHEV,1.5 MHEV LXI,LXI,B1,manual,5,5,MPV,short,2740,front,1.5,1462,76,103,4,in-line,Petrol,7,1760,IND,8.97,10.35
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,MHEV,1.5 MHEV ZXI+,ZXI+,L1,manual,5,5,MPV,short,2740,front,1.5,1462,76,103,4,in-line,Petrol,7,1760,IND,11.86,14.03
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,MHEV,1.5 MHEV VXI AT,VXI,M1,automatic,6,5,MPV,short,2740,front,1.5,1462,76,103,4,in-line,Petrol,7,1785,IND,11.46,13.57
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,MHEV,1.5 MHEV ZXI AT,ZXI,M2,automatic,6,5,MPV,short,2740,front,1.5,1462,76,103,4,in-line,Petrol,7,1785,IND,12.56,14.84
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,MHEV,1.5 TOUR M,TOUR M,M1,manual,5,5,MPV,short,2740,front,1.5,1462,76,103,4,in-line,Petrol,7,1760,IND,9.9,11.25
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,combustion,1.5 CNG VXI,VXI,M1,manual,5,5,MPV,short,2740,front,1.5,1462,65,88,4,in-line,CNG,7,1820,IND,11.16,13.06
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,combustion,1.5 CNG TOUR M,TOUR M,M1,manual,5,5,MPV,short,2740,front,1.5,1462,65,88,4,in-line,CNG,7,1820,IND,10.85,13.09
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,combustion,1.5 CNG ZXI,ZXI,M2,manual,5,5,MPV,short,2740,front,1.5,1462,65,88,4,in-line,CNG,7,1820,IND,12.25,14.32
"price chnge,S",2025,MARUTI SUZUKI,ERTIGA,2,MHEV,1.5 MHEV ZXI+ AT,ZXI+,L1,automatic,6,5,MPV,short,2740,front,1.5,1462,76,103,4,in-line,Petrol,7,1785,IND,13.41,15.64
